Domain,% (non main TLD's) - backlinks,% (non main TLD's) - domains,Unique .edu domains,Unique .gov domains
acceleratinght.org,36.3% - 82,43.9% - 69,10,0
architectsforpeace.org,6.4% - 209,32.4% - 101,1,0
briardrescue.com,7.7% - 63,45.8% - 55,0,0
businessstudynotes.com,20.7% - 757,28.4% - 490,3,0
capiston.com,34.0% - 101,36.6% - 90,0,0
civicresource.com,16.1% - 72,36.6% - 52,2,2
creatingitfutures.org,7.4% - 322,21.7% - 120,4,1
dhcuration.org,43.8% - 747,50.7% - 144,17,2
diaryofasocalmama.com,52.0% - 1080,46.7% - 421,0,1
differentwrld.com,20.6% - 128,27.8% - 97,3,0
dramacollector.com,40.1% - 2198,37.7% - 878,12,2
dynamicsofvirtualwork.com,51.9% - 284,58.4% - 115,6,0
essentialstuff.org,22.3% - 379,35.0% - 152,0,0
evolutionpsychology.com,71.3% - 293,54.2% - 65,0,0
finsnation.com,18.1% - 68,31.6% - 54,0,0
globalmagazinepulse.com,49.1% - 132,64.0% - 64,0,0
gsfaccelerator.com,61.4% - 194,53.1% - 76,0,0
heretohere.org,14.9% - 144,32.8% - 78,16,1
heylovedesigns.com,22.0% - 280,33.6% - 193,0,0
huntnews360.com,18.5% - 72,62.5% - 65,0,0
hushhushsociety.com,16.1% - 153,34.1% - 74,1,0
iconperk.com,10.4% - 101,48.0% - 73,0,0
infiniteio.com,51.0% - 103,57.4% - 66,0,0
jobgraze.com,15.2% - 77,32.5% - 49,1,0
lapq.org,41.1% - 123,36.5% - 58,2,0
laterbro.com,17.9% - 333,24.2% - 198,0,0
loyalestudio.com,39.6% - 74,48.0% - 61,0,0
milesovermountains.com,10.2% - 58,35.0% - 49,2,0
mobjectify.com,0.0% - 0,0.0% - 0,0,0
mrvcollective.org,63.6% - 157,60.2% - 59,0,0
mrvcollective.org,0.0% - 0,0.0% - 0,0,0
mygardeninsider.com,35.5% - 133,34.7% - 76,0,0
mymediaproject.org,68.8% - 170,64.5% - 71,0,0
natashasfoodadventures.com,37.1% - 294,35.4% - 170,0,0
nextgenjournal.com,10.0% - 371,24.6% - 138,7,0
northernlightexposure.com,17.3% - 84,56.1% - 69,0,0
oldtownbusiness.org,6.1% - 165,43.5% - 90,0,0
oneeightdistilling.com,16.8% - 292,27.1% - 125,1,1
orisintel.com,43.0% - 406,39.0% - 99,2,0
osians.com,16.6% - 333,36.2% - 126,0,0
otsys.com,5.6% - 262,43.6% - 122,8,0
pandaset.org,27.2% - 78,50.4% - 66,1,0
paseogateway.com,41.8% - 71,48.0% - 61,0,0
pptmagic.com,23.6% - 89,50.4% - 66,2,0
purelydecadent.com,3.3% - 69,18.7% - 57,0,0
reacttimes.org,29.3% - 186,55.1% - 103,0,0
rnapartners.com,5.2% - 68,34.8% - 57,1,0
runwithmaud.com,11.1% - 354,21.4% - 187,8,1
smartherd.com,55.6% - 183,60.8% - 124,0,0
solargardens.org,1.4% - 84,26.7% - 74,4,1
spectrumpolicy.org,7.7% - 58,47.8% - 55,1,0
techymoon.com,58.9% - 4595,66.7% - 1474,5,0
thecaptainscorner.com,46.5% - 134,53.4% - 79,0,0
theconversionlift.com,44.9% - 367,46.2% - 224,0,0
thegsmission.org,36.0% - 59,46.7% - 49,3,1
thinkbilingual.org,15.2% - 75,42.0% - 63,2,0
tidyfavorites.com,35.9% - 425,32.6% - 153,0,0
tinymos.com,19.1% - 283,36.7% - 117,0,0
utilityzerowaste.com,35.4% - 103,42.8% - 83,0,0
wearedonation.com,27.3% - 386,44.3% - 214,1,0
youtoocancook.net,0.7% - 71,13.9% - 14,0,0
