Date,Auctioneer,Total,Exclusive,DR,DR_%,Drops,Drops_%,DA,DA_%,,,Date,Auctioneer,Total,Exclusive,DR,DR_%,Drops,Drops_%,DA,DA_%
2025-04-27,GoDaddy Auctions,0,0,0,0,0,0,0,0,,,2025-04-27,GoDaddy Auctions,0,0,0,0,0,0,0,0
2025-04-27,Namecheap Auctions,207,207,136,66,48,23,192,93,,,2025-04-27,Namejet Auctions,0,0,0,0,0,0,0,0
2025-04-27,Namejet Auctions,0,0,0,0,0,0,0,0,,,2025-04-27,Sav.com Auctions,0,0,0,0,0,0,0,0
2025-04-27,Namesilo Auctions,87,87,81,93,24,28,86,99,,,2025-04-28,GoDaddy Auctions,0,0,0,0,0,0,0,0
2025-04-27,Sav.com Auctions,0,0,0,0,0,0,0,0,,,2025-04-28,Namejet Auctions,,,,,0,0,,
2025-04-27,TOTAL,294,294,217,74,72,24,278,95,,,2025-04-28,Sav.com Auctions,0,0,0,0,0,0,0,0
2025-04-28,GoDaddy Auctions,0,0,0,0,0,0,0,0,,,2025-04-29,Sav.com Auctions,0,0,0,0,0,0,0,0
2025-04-28,Namecheap Auctions,21,21,19,90,8,38,21,100,,,2025-04-30,Namejet Auctions,0,0,0,0,0,0,0,0
2025-04-28,Namejet Auctions,12,12,8,67,0,0,12,100,,,2025-04-30,Sav.com Auctions,,,,,0,0,,
2025-04-28,Namesilo Auctions,140,140,133,95,56,40,140,100,,,2025-05-01,Namejet Auctions,0,0,0,0,0,0,0,0
2025-04-28,Sav.com Auctions,0,0,0,0,0,0,0,0,,,2025-05-02,Namejet Auctions,0,0,0,0,0,0,0,0
2025-04-28,TOTAL,173,173,160,92,64,37,173,100,,,2025-05-03,Namecheap Auctions,,,0,0,,,,
2025-04-29,GoDaddy Auctions,280,280,155,55,57,20,257,92,,,2025-05-03,Namejet Auctions,0,0,0,0,0,0,0,0
2025-04-29,Namecheap Auctions,37,37,34,92,12,32,35,95,,,2025-05-03,Namesilo Auctions,,,,,0,0,,
2025-04-29,Namejet Auctions,44,44,30,68,2,5,41,93,,,,,,,,,,,,
2025-04-29,Namesilo Auctions,136,136,126,93,45,33,136,100,,,,,,,,,,,,
2025-04-29,Sav.com Auctions,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2025-04-29,TOTAL,497,497,345,69,116,23,469,94,,,,,,,,,,,,
2025-04-30,GoDaddy Auctions,658,658,405,62,115,17,610,93,,,,,,,,,,,,
2025-04-30,Namecheap Auctions,50,50,41,82,12,24,48,96,,,,,,,,,,,,
2025-04-30,Namejet Auctions,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2025-04-30,Namesilo Auctions,135,135,127,94,43,32,134,99,,,,,,,,,,,,
2025-04-30,Sav.com Auctions,4,4,4,100,0,0,4,100,,,,,,,,,,,,
2025-04-30,TOTAL,847,847,577,68,170,20,796,94,,,,,,,,,,,,
2025-05-01,GoDaddy Auctions,615,615,437,71,84,14,581,94,,,,,,,,,,,,
2025-05-01,Namecheap Auctions,31,31,23,74,5,16,31,100,,,,,,,,,,,,
2025-05-01,Namejet Auctions,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2025-05-01,Namesilo Auctions,111,111,105,95,20,18,111,100,,,,,,,,,,,,
2025-05-01,Sav.com Auctions,11,11,9,82,3,27,11,100,,,,,,,,,,,,
2025-05-01,TOTAL,768,768,574,75,112,15,734,96,,,,,,,,,,,,
2025-05-02,GoDaddy Auctions,672,672,413,61,95,14,623,93,,,,,,,,,,,,
2025-05-02,Namecheap Auctions,42,42,32,76,15,36,41,98,,,,,,,,,,,,
2025-05-02,Namejet Auctions,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2025-05-02,Namesilo Auctions,4,4,3,75,2,50,4,100,,,,,,,,,,,,
2025-05-02,Sav.com Auctions,3,3,3,100,1,33,3,100,,,,,,,,,,,,
2025-05-02,TOTAL,721,721,451,63,113,16,671,93,,,,,,,,,,,,
2025-05-03,GoDaddy Auctions,34,34,26,76,5,15,34,100,,,,,,,,,,,,
2025-05-03,Namecheap Auctions,31,31,0,0,8,26,31,100,,,,,,,,,,,,
2025-05-03,Namejet Auctions,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2025-05-03,Namesilo Auctions,6,6,6,100,0,0,6,100,,,,,,,,,,,,
2025-05-03,Sav.com Auctions,32,32,25,78,19,59,32,100,,,,,,,,,,,,
2025-05-03,TOTAL,103,103,57,55,32,31,103,100,,,,,,,,,,,,
