Name,Source,DA,AS,DR,UR,TF,CF,S RD,M RD,A RD,S BL,M BL,A BL,IP'S,SZ,Variance,Follow %,S (BL/RD),M (BL/RD),Age,Indexed,Drops,MT,English %,Expiry
itrunsinmyfamily.com,GoDaddy Auctions,22,nan,35,12,14,19,nan,70,132,nan,150,2517,nan,5,35,0.00%,0,2.142857142857143,17,0,,"Health/Conditions and Diseases: 14
Society/Law: 13
Health/Medicine: 12
Society/Religion and Spirituality: 11",nan%,7/05/2025
frostlab.org,GoDaddy Auctions,16,nan,10,9,22,20,nan,57,150,nan,90,484,nan,10,16,0.00%,0,1.5789473684210527,10,5,,"Science/Chemistry: 21
Computers/Computer Science/Computer Graphics: 21",nan%,7/05/2025
letzdesign.com,GoDaddy Auctions,14,nan,16,9,13,20,nan,110,432,nan,253,3776,nan,10,16,0.00%,0,2.3,21,1,,"Business/Agriculture and Forestry: 13
Home/Gardening: 12",nan%,9/05/2025
modularhomeplace.com,GoDaddy Auctions,19,nan,5,9,11,13,nan,32,126,nan,94,758,nan,14,19,0.00%,0,2.9375,20,674,,Business: 11,nan%,7/05/2025
righttorecovery.org,GoDaddy Auctions,16,nan,9,0,14,18,nan,54,83,nan,78,172,nan,16,16,0.00%,0,1.4444444444444444,5,2,,"Recreation/Travel: 14
Society/Issues: 14
Regional/Europe: 11",nan%,9/05/2025
requitedjournal.com,GoDaddy Auctions,20,nan,19,7,19,24,nan,94,164,nan,8614,14410,nan,nan,20,0.00%,0,91.63829787234043,15,10,,"Arts/Literature: 19
Arts/Music: 16
Business/Publishing and Printing: 15
Society/People: 14
News/Magazines and E-zines: 13
Arts/Writers Resources: 13",nan%,7/05/2025
plantbelly.com,GoDaddy Auctions,19,nan,nan,nan,11,19,nan,46,nan,nan,137,nan,nan,nan,19,0.00%,0,2.9782608695652173,nan,,,"Home/Cooking: 11
Science/Technology: 11
Reference/Education: 11
Shopping/Food: 11",nan%,8/05/2025
oppforyouth.org,GoDaddy Auctions,12,nan,nan,nan,20,19,nan,70,nan,nan,102,nan,nan,nan,12,0.00%,0,1.457142857142857,nan,0,,"Society/Philanthropy: 19
Arts/Architecture: 19
Society: 17
Society/Issues: 15
Science/Environment: 15
Arts/Movies: 15",nan%,7/05/2025
hubdesignsmagazine.com,GoDaddy Auctions,34,nan,26,2,11,18,nan,38,83,nan,97,1106,nan,nan,34,0.00%,0,2.5526315789473686,14,1,,"Business/Publishing and Printing: 11
Computers/Internet/Web Design and Development: 8
Games/Video Games/Adventure: 8
Computers/Internet/On the Web: 8
Shopping/Antiques and Collectibles: 8
Regional/Europe: 8
Computers/Internet: 7",nan%,9/05/2025
altconservative.com,GoDaddy Auctions,3,nan,nan,nan,7,16,nan,177,nan,nan,316,nan,nan,nan,3,0.00%,0,1.7853107344632768,nan,249,,"Society/Religion and Spirituality: 7
Business/Industrial Goods and Services: 1",nan%,9/05/2025
