Domain Name,SEMRUSH,Column1,Flagged,Message,Spam,Potential Spam,Ahrefs DR,Ahrefs BL,Ahrefs RD,Ahrefs Ref IPs,SZ Score,Indexed
aimawaymessages.com,1,,,clean,0,,27,1882,106,127,4,1
thesolarguide.com,,,,clean,0,,20,1361,252,251,4,0
pacificwebworks.com,,,,clean,0,,14,137,72,71,5,0
aapsa.org,,,,clean,0,,25,363,149,167,5,0
worldandmain.com,,,,clean,0,,51,1325,253,256,8,0
madadgaar.org,1,,,clean,0,,16,269,141,113,9,1
paradigmmagazine.com,1,backlinks. 2015 - 2016. ,,clean,0,,17,667,197,225,10,1
pawmenow.com,1,,,clean,0,,16,6998,464,444,13,1
yogamyoldfriend.com,1,anchors. Reselling domains. ,,clean,0,,28,1892,442,288,13,1
relevantreach.org,,,,archive.org snapshots with status 403 during latest year,1,,8,251,92,75,–,1
benignblog.com,,promotion.  Anchors. 2020 - 2022. referring domain. ,,clean,0,,8,4857,526,543,6,1
hoursnearby.com,,,insurance | Low DR,snapshot < title : badword  in (hours nearby - finance and insurance hub),1,,5,865,222,238,–,1
informationoptimized.com,1,, buy now,snapshot < text : badword  in (mains reasons testimonials appraisals blog print domain for sale informationoptimized.com $9888 usd buy now what are the advantages of a super premium .com domain? increased traffic search engine ran),0,snapshot < text : badword [ buy now] in (mains reasons testimonials appraisals blog print domain for sale informationoptimized.com $9888 usd buy now what are the advantages of a super premium .com domain? increased traffic search engine ran),17,2095,447,446,–,1
hope-initiative.net,,,,\many redirects: domain `hope-initiative.net` has a high percentage of redirects (301:52% 3020%)\,0,,11,122,96,83,26,0
discordpal.com,1,,,insufficient archive.org history available,0,insufficient archive.org history available,15,8734,294,282,–,1
transitionsglobal.org,1,,,clean,0,,24,1956,166,181,12,1
apolloeecom.com,,, slot,anchors : badword  in (dafatoto slot),1,,28,339598,1212,1190,–,0
enjoyceres.com,,,783 | 3093,\significant increase in content (enjoyceres.com-2023-01-25  -> enjoyceres.com-2023-06-05 )\,0,,6,325,224,76,28,1
aswewalkalongtheroad.com,1,2021 -2023,796 | 4041,\significant increase in content (aswewalkalongtheroad.com-2020-12-01  -> aswewalkalongtheroad.com-2021-04-11 )\,0,,41,10317,714,572,17,1
freespiders.org,1,,,processing error.,0,processing error.,,,,,–,1
myasmine.com,1,, escort,snapshot < text : badword  in (n it. i was born in kuwait city kuwait.  i left when two u.s. ambassadors came to our front door to escort us out of the country during the persian gulf war in 1990. my little brother is american and),0,,7,216,76,97,–,1
izifunny.com,,, slot,snapshot < text : badword  in (thức lô đề casino + big gaming evolution asiagaming ae live 6686 live top game + nổ hũ game bài game slot bắn cá đua ngựa xổ số + dự đoán xsmb dự đoán xsmt dự đoán xsmn đánh giá + 6686 m88 bk8 fun88 w),1,,27,2965,616,529,–,1
accreditedfirms.com,1,,,insufficient archive.org history available,0,insufficient archive.org history available,26,4666,74,59,–,1
