Domain Name,Flagged,Message,Spam,Potential Spam,Ahrefs DR,Ahrefs BL,Ahrefs RD,Ahrefs Ref IPs,SZ Score,Indexed,SEMRUSH,outbounds. Acnhors,ANCHORS,BACKLINKS,OTHER
petersongarden.org,,clean,0,,34,2681,326,322,5,0,,,,,
exquisitetweets.com, fuck,snapshot < text : badword  in (body im not racist i keep myself nice and when i ask for a single re-tweet in return i am told to fuck off fuck myself etc 19 tweets from 12 people • collected by kephnos dougshadle 1/ thread abo),1,,44,6486,441,440,–,1,,,,,
danceboxoffice.com,,clean,0,,23,2518,117,134,5,1,1,,,,
barefootprovisions.com,,clean,0,,33,12342,258,283,8,0,,,,,
royaltrendia.com, buy now,snapshot < text : badword  in (ss royal trendia we specifically brand your ad to ensure that it get the perfect and intended impact buy now follow us on twitter follow @royaltrendia tweets business profiles sunstar hotel nairobi po),0,snapshot < text : badword [ buy now] in (ss royal trendia we specifically brand your ad to ensure that it get the perfect and intended impact buy now follow us on twitter follow @royaltrendia tweets business profiles sunstar hotel nairobi po),20,1355,220,203,–,1,1,1,1,,
hgsf-global.org,,clean,0,,33,1011,243,249,12,1,1,,,,
vocomp.org,,clean,0,,17,204,66,75,9,1,,,,,Indonesia. 
articlesofincorporation.org,,clean,0,,19,3828,663,462,15,1,1,,,,
kidpoweryoga.com,,clean,0,,24,443,142,138,11,1,1,1,,,
cd-create.org,,clean,0,,11,214,104,82,11,1,1,1,,,
iristhedragon.org,,clean,0,,20,564,106,106,11,1,,,,1,
northsecuritylabs.com,,clean,0,,7,421,155,140,12,1,1,,,,
dantiques.com, slot,anchors : badword  in (judi slot online terbaru),0,,38,499597,801,740,–,1,1,,,,
ktda.org,,clean,0,,21,212,119,105,14,0,,,,,
theoxygenguys.com,,clean,0,,8,366,109,108,14,1,1,,,,
etoolkit.org, slot,snapshot < title : badword  in (home - indo3388 website slot gacor jackpot terbesar),1,,11,3589,518,253,–,1,,,,,
vi-improved.org,226 | 6025,\significant increase in content (vi-improved.org-2013-07-21  -> vi-improved.org-2013-12-07 )\,0,,41,5337,588,537,16,1,1,,,,
tastecork.com,,processing error.,0,processing error.,,,,,–,1,1,,,,
spinhost.net,,clean,0,,10,14232,240,236,16,0,,,,,
filmescape.com, slot,snapshot < text : badword  in (res this measures the percentage of all the individuals who are watching tv during a particular time slot. in other words while ratings measure percentage of the population whether or not they have t),0,,17,576,245,226,–,0,,,,,
yourhousegarden.com,,clean,0,,34,4075,503,439,22,1,,1,,,suspicious backlinks. 
paperswrite.org, fake,snapshot < text : badword  in (s that their guarantees seem vague and distrustful. but here at affordable-papers.net we don't make fake promises and that's why our clients love us! here's want you are getting with us if you'll as),0,,45,2234,884,868,–,1,1,1,,,
troublesomefest.com,350 | 2452,\significant increase in content (troublesomefest.com-2022-03-31  -> troublesomefest.com-2022-09-08 )\,0,,20,927,50,47,27,1,1,,,,
trendrevog.com,,clean,0,,14,1615,383,222,16,1,1,,,,
newsdailymotion.com, buy now,snapshot < text : badword  in ( password your email a password will be e-mailed to you. saturday september 30 2023 sign in / join buy now! facebook instagram twitter vimeo youtube home technology sports review tv show entertainme),0,snapshot < text : badword [ buy now] in ( password your email a password will be e-mailed to you. saturday september 30 2023 sign in / join buy now! facebook instagram twitter vimeo youtube home technology sports review tv show entertainme),27,2607,530,357,–,1,1,,,,
welcomefellow.com,684 | 1937,\significant increase in content (welcomefellow.com-2016-08-10  -> welcomefellow.com-2017-02-10 )\,0,,11,437,189,205,26,1,1,,,,
collaborativescience.org,,archive.org snapshots with status 403 during latest year,1,,11,245,126,129,–,1,,,,,
imperialsports.net,insurance,snapshot < text : badword  in ( question – i would want to know this too! all our items are fully insured through the collectibles insurance agency. in ten years of mailing packages across the world not one package has been lost d),0,,8,641,210,201,–,1,1,,,,
bookofentropia.com, slot,snapshot < text : badword  in (kubutogel » situs bandar togel judi casino dadu koprok & slot online terpercaya kubutogel » situs bandar togel judi casino dadu koprok & slot online terper),1,,19,284,156,144,–,0,,,,,
onetrueportal.com, slot,snapshot < text : badword  in ( booming sekali dengan rambut afro dan baju berwarna-warni. hal ini mengingatkan saya akan permainan slot daring di situs judi slot cq9 yang memiliki permainan bertema sama dengan judul “disco night” ),0,,18,1276,297,196,–,0,,,,,
neanderthal-modern.com,,archive.org snapshots with status 403 during latest year,1,,22,7348,203,185,–,0,,,,,
bbqla.net, slot,anchors : badword  in (situs khusus judi slot online terpercaya),0,,26,4975,279,264,–,0,,,,,
escalatenetwork.org,,insufficient archive.org history available,0,insufficient archive.org history available,6,207,59,54,–,1,1,,,,
growthology.org,insurance,snapshot < text : badword  in (e been better for the government to guarantee aig's obligations to j.p. morgan and those who bought insurance from aig. i am more tolerant of the financial interventions made by bernanke and the fed b),0,,34,49528,521,397,–,0,,,,,
