DOMAIN NAME,SPAM?,SUSPICIOUS LINKS
acceleratinght.org,1,
architectsforpeace.org,,
bayofconnections.com,,
briardrescue.com,,
businessstudynotes.com,1,
byjuslearning.com,,
capiston.com,,work from home
civicresource.com,,malware and hacking. 
creatingitfutures.org,1,
dhcuration.org,,
diaryofasocalmama.com,1,
differentwrld.com,,tech. 
dramacollector.com,1,
dynamicsofvirtualwork.com,,
essentialstuff.org,,pet pills. 
evolutionpsychology.com,,dating - evolution. 
finsnation.com,1,
globalmagazinepulse.com,,
gsfaccelerator.com,1,
heretohere.org,,
heylovedesigns.com,1,
howwidelyspoken.com,1,
huntnews360.com,1,
hushhushsociety.com,1,
iconperk.com,,drug related/
infiniteio.com,,
jobgraze.com,,porn related directory.
lapq.org,,
laterbro.com,1,
loyalestudio.com,1,
milesovermountains.com,,
mobjectify.com,1,
mrvcollective.org,1,
mymediaproject.org,,
mysolmat.com,1,
mygardeninsider.com,,
natashasfoodadventures.com,,
nextgenjournal.com,1,
northernlightexposure.com,,
oldtownbusiness.org,,
oneeightdistilling.com,,
orisintel.com,,hacking jobs
osians.com,,
otsys.com,1,
pandaset.org,1,
paseogateway.com,,
pptmagic.com,,
purelydecadent.com,,coconut oil
reacttimes.org,1,
rnapartners.com,,
runwithmaud.com,,
smartherd.com,,hacking related.
solargardens.org,1,
spectrumpolicy.org,,
techymoon.com,1,
the-end-of-oil.com,,
thecaptainscorner.com,,
theconversionlift.com,,
thegsmission.org,,rehab
thenoma.com,1,
thinkbilingual.org,,
tidyfavorites.com,1,
tinymos.com,,
utilityzerowaste.com,,weird slot.
wearedonation.com,,
youtoocancook.net,,
